jurisdiction,topic_key,topic_label,source_url,notes
Nevada,everify,E-Verify / Employment Verification,https://hr.nv.gov/Resources/Publications/HR123/other/verification/,verification - Division of Human Resource Management – 
Nevada,workers_comp,Workers’ Compensation Requirements,https://dir.nv.gov/uploadedfiles/dirnvgov/content/WCS/EmployersDocs/EmployerCoverageRequirements.pdf,Workers' Compensation – 
Nevada,prevailing_wage,Prevailing Wage Laws (public contracts),https://labor.nv.gov/uploadedFiles/labornvgov/content/PrevailingWage/PWP%20Handbook%20October%202017.pdf,Public Works and Prevailing Wage guidelines and ... – 
Nevada,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://nevada.public.law/statutes/nrs_608.019,NRS 608.019 – Periods for meals & rest. – 
Nevada,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.govinfo.gov/content/pkg/FR-2025-04-22/pdf/2025-05904.pdf,"Federal Register/Vol. 90, No. 76/Tuesday, April 22, 2025/ ... – "
Nevada,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-states-nevada/,Right to Work States: Nevada - National Right to Work Foundation – 
Nevada,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://law.justia.com/codes/nevada/chapter-608/statute-608-0197/,"2024 Nevada Revised Statutes :: Chapter 608 - Compensation, Wages and Hours :: NRS 608.0197 - Employer required to provide paid leave; use of paid leave; Labor Commissioner to prepare and post bulletin; maintenance and inspection of records; other rights, remedies, procedures and benefits; exceptions. – "
Nevada,voting_leave,Voting / Civic Leave,https://hr.nv.gov/Resources/Publications/HR123/Attendance/Voting/,Voting (Civil Leave) - Division of Human Resource Management – 
Nevada,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://dir.nv.gov/OSHA/home/,Occupational Safety & Health Administration (OSHA) – 
Nevada,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://www.leg.state.nv.us/nrs/nrs-353d.html,NRS: CHAPTER 353D - NEVADA EMPLOYEE SAVINGS TRUST – 
New Hampshire,minimum_wage,Minimum Wage,https://www.dol.nh.gov/inspections/wage-and-hour,Wage and Hour – 
New Hampshire,overtime,Overtime & Hours,https://www.nh.gov/labor/faq/wage-hour.htm,Wages and Work Hours | Frequently Asked Questions – 
New Hampshire,paid_sick_leave,Paid Sick Leave,https://www.das.nh.gov/hr/supplementalsickleave.html,Supplemental Sick Leave – 
New Hampshire,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.paidfamilymedicalleave.nh.gov/,Home | NH Paid Family Medical Leave – 
New Hampshire,final_pay,Final Pay / Vacation Payout,https://www.nh.gov/labor/faq/wage-hour.htm,Wages and Work Hours | Frequently Asked Questions – 
New Hampshire,pay_frequency,Pay Frequency & Payday Timing,https://www.workforcehub.com/hr-laws-and-regulations/new-hampshire/new-hampshire-pay-period-and-frequency-laws/,New Hampshire Pay Period and Frequency Laws - WorkforceHub – 
New Hampshire,harassment_training,Harassment Training,https://www.das.nh.gov/hr/sexual-harassment.aspx,Sexual Harassment Policy | Human Resources | NH Dept. of ... – 
New Hampshire,posting_requirements,Posting Requirements,https://www.nh.gov/labor/forms/mandatory-posters.htm,Welcome – 
New Hampshire,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.humanrights.nh.gov/types-discrimination/employment-discrimination/pregnancy-discrimination/law,The Law – 
New Hampshire,meal_rest_breaks,Meal & Rest Breaks,https://www.dol.nh.gov/resource-center/frequently-asked-questions/wages-and-work-hours-faqs,Wages and Work Hours FAQs | State of New Hampshire ... – 
New Hampshire,jury_duty_leave,Jury Duty Leave,https://www.courts.nh.gov/jurors,Jurors | New Hampshire Judicial Branch - NH.gov – 
New Hampshire,bereavement_leave,Bereavement Leave,https://www.workforcehub.com/hr-laws-and-regulations/new-hampshire/new-hampshire-bereavement-leave-laws/,New Hampshire Bereavement Leave Laws - WorkforceHub – 
New Hampshire,non_compete,Non-Compete Enforcement Rules,https://law.justia.com/codes/new-hampshire/2023/title-xxiii/chapter-275/section-275-70/,2023 New Hampshire Revised Statutes :: Title XXIII - Labor :: Chapter 275 - Protective Legislation :: Section 275:70 - Noncompete Agreements. – 
New Hampshire,background_checks,Background Check / Ban-the-Box,https://www.governor.nh.gov/sites/g/files/ehbemt336/files/2020-09/accountability-final-report.pdf,Report and Recommendations – 
New Hampshire,mini_warn,Mini-WARN & Separation Notices,https://content.next.westlaw.com/practical-law/document/I77ec39a8ef2e11e28578f7ccc38dcbee/Mini-WARN-Acts-New-Hampshire?viewType=FullText&transitionType=Default&contextData=(sc.Default),Mini-WARN Acts: New Hampshire | Practical Law – 
New Hampshire,everify,E-Verify / Employment Verification,https://media.sos.nh.gov/govcouncil/2025/0730/096%20GC%20Agenda%20073025.pdf,State of New Hampshire – 
New Hampshire,workers_comp,Workers’ Compensation Requirements,https://www.dol.nh.gov/workers-compensation/workers-compensation-fact-sheet,Workers' Compensation Fact Sheet | State of New Hampshire ... – 
New Hampshire,prevailing_wage,Prevailing Wage Laws (public contracts),https://emarsinc.com/prevailing-wages/new-hampshire,Prevailing Wage and Davis-Bacon Compliance in New Hampshire – 
New Hampshire,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.eppingnh.gov/sites/g/files/vyhlif8156/f/uploads/new_personnel_policy_2024_2.pdf,Town of Epping PERSONNEL POLICY – 
New Hampshire,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://mm.nh.gov/files/uploads/doit/documents/sonh-use-of-artificial-intelligence-technologies-policy.pdf,SoNH Use of Artificial Intelligence Technologies Policy – 
New Hampshire,right_to_work,Right-to-Work Laws (where applicable),https://standuptoalec.org/wp-content/uploads/2017/01/New-Hampshire-ALEC-RTW-Comparison.pdf,Microsoft Word - New-Hampshire-ALEC-RTW-Comparison.docx – 
New Hampshire,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.doj.nh.gov/criminal/victim-assistance/victim-resources.htm,Victim Resources | Victim/Witness Assistance – 
New Hampshire,voting_leave,Voting / Civic Leave,https://www.sos.nh.gov/elections/voters,Voters – 
New Hampshire,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www.congress.gov/crs_external_products/R/PDF/R46288/R46288.38.pdf,Occupational Safety and Health Administration (OSHA) – 
New Hampshire,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://apps.das.nh.gov/employeeportal/comp-savings/deferred-comp/,Employee Portal - Deferred Comp – 
New Jersey,minimum_wage,Minimum Wage,https://www.nj.gov/labor/wageandhour/,Wage & Hour Compliance – 
New Jersey,overtime,Overtime & Hours,https://www.nj.gov/labor/wageandhour/tools-resources/laws/,Wage & Hour Compliance | Laws and Regulations – 
New Jersey,paid_sick_leave,Paid Sick Leave,https://www.nj.gov/labor/myworkrights/leave-benefits/sick-leave/,My Work Rights | Earned Sick Leave – 
New Jersey,family_medical_leave,Paid Family / Medical Leave (PFML),https://myleavebenefits.nj.gov/worker/fli/,State of New Jersey Seal Official Site of The State of New Jersey – 
New Jersey,final_pay,Final Pay / Vacation Payout,https://www.nj.gov/labor/wageandhour/support/faqs/wageandhouremployerfaqs.shtml,Wage and Hour Compliance FAQs (for Employers) – 
New Jersey,pay_frequency,Pay Frequency & Payday Timing,https://www.nj.gov/labor/forms_pdfs/lsse/mw-17.pdf, – 
New Jersey,harassment_training,Harassment Training,https://www.nj.gov/csc/employees/training/classroom/leading_conscious_workforce.html,Preventing Harassment and Discrimination – 
New Jersey,posting_requirements,Posting Requirements,https://www.nj.gov/labor/wageandhour/tools-resources/forms-publications/employer-poster-packet/,Wage & Hour Compliance | Employer Poster Packet – 
New Jersey,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.njoag.gov/wp-content/uploads/2024/12/DCR-Guidance-on-Pregnancy-Related-Workplace-Accommodations.pdf,"1 Guidance on Workplace Accommodations for Pregnant, ... – "
New Jersey,meal_rest_breaks,Meal & Rest Breaks,https://www.nj.gov/labor/wageandhour/support/faqs/wageandhouremployerfaqs.shtml,Wage and Hour Compliance FAQs (for Employers) – 
New Jersey,jury_duty_leave,Jury Duty Leave,https://www.njcourts.gov/jurors/faq,Frequently Asked Questions About Jury Service | NJ Courts – 
New Jersey,bereavement_leave,Bereavement Leave,https://www.workforcehub.com/hr-laws-and-regulations/new-jersey/new-jersey-bereavement-leave-laws/,New Jersey Bereavement Leave Laws - WorkforceHub – 
New Jersey,non_compete,Non-Compete Enforcement Rules,https://pub.njleg.gov/Bills/2024/S4500/4386_I1.HTM,S4386 – 
New Jersey,background_checks,Background Check / Ban-the-Box,https://downloads.regulations.gov/OPM-2022-0004-0019/attachment_1.pdf,"June 27, 2022 U.S. Office of Personnel Management 1900 E ... – "
New Jersey,mini_warn,Mini-WARN & Separation Notices,https://www.nj.gov/labor/employer-services/warn/,Department of Labor & Workforce Development | Layoffs ... – 
New Jersey,everify,E-Verify / Employment Verification,https://www.nj.gov/humanservices/njnewamericans/newcomers/employment/,Office of New Americans | Employment Authorization ... – 
New Jersey,workers_comp,Workers’ Compensation Requirements,https://nj.gov/labor/workerscompensation/employer-requirements/,Workers' Compensation | Requirements for Employers – 
New Jersey,prevailing_wage,Prevailing Wage Laws (public contracts),https://www.nj.gov/labor/wageandhour/prevailing-rates/public-works/,Prevailing Wage Rates on Construction-Related Public ... – 
New Jersey,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.nj.gov/labor/myworkrights/wages/wages.shtml,My Work Rights | Wage and hour compliance: laws and regulations – 
New Jersey,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.nj.gov/circulars/23-oit-007.pdf,Microsoft Word - AI Acceptable Use Joint Circular (9-19-2023)-V4.2.docx – 
New Jersey,right_to_work,Right-to-Work Laws (where applicable),https://www.nj.gov/labor/wageandhour/tools-resources/laws/wageandhourlaws.shtml,NJ State Wage and Hour Laws and Regulations – 
New Jersey,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.nj.gov/labor/myunemployment/before/circumstances/domestic/,Division of Unemployment Insurance | Victims/Survivors of Domestic Violence – 
New Jersey,voting_leave,Voting / Civic Leave,https://nj.gov/governor/news/news/562024/approved/20240116h.shtml,The Official Website of Governor Phil Murphy – 
New Jersey,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/stateplans/nj,New Jersey State Plan | Occupational Safety and Health Administration – 
New Jersey,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://www.nj.gov/treasury/securechoiceprogram/board-info.shtml,RetireReady NJ - Secure Choice Program – 
New Mexico,minimum_wage,Minimum Wage,https://www.dws.state.nm.us/en-us/News/Latest-News/new-mexico-minimum-wage-increase-goes-into-effect-sunday-january-1-2023,"New Mexico Minimum Wage Increase goes into effect Sunday, January 1, 2023 – "
New Mexico,overtime,Overtime & Hours,https://www.cd.nm.gov/wp-content/uploads/2023/12/CD-035100.pdf,"A. Fair Labor Standards Act of 1938, as amended. B. ... – "
New Mexico,paid_sick_leave,Paid Sick Leave,https://law.justia.com/codes/new-mexico/chapter-50/article-17/section-50-17-3/,2024 New Mexico Statutes :: Chapter 50 - Employment Law :: Article 17 - Healthy Workplaces :: Section 50-17-3 - Earned sick leave; use and accrual. – 
New Mexico,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.cd.nm.gov/wp-content/uploads/2024/01/CD-030900.pdf,"Family and Medical Leave Act of 1993, P.L. 103-3 State ... – "
New Mexico,final_pay,Final Pay / Vacation Payout,https://humanresources.nmcourts.gov/wp-content/uploads/sites/63/2025/01/NMJBPR-Rules-Part-I-Rvd-Eff-1-1-2025-FINAL.pdf,Supreme Court of New Mexico – 
New Mexico,pay_frequency,Pay Frequency & Payday Timing,https://law.justia.com/codes/new-mexico/2021/chapter-50/article-4/section-50-4-2/,2021 New Mexico Statutes :: Chapter 50 - Employment Law :: Article 4 - Labor Conditions; Payment of Wages :: Section 50-4-2 - Semimonthly and monthly pay days. – 
New Mexico,harassment_training,Harassment Training,https://www.nmlegis.gov/publications/anti_harassment_policy.pdf,Anti-Harassment Policy – 
New Mexico,posting_requirements,Posting Requirements,https://biz.nm.gov/business-navigator/workplace-hiring-requirements/,Workplace Hiring Requirements - Welcome to the New Mexico Business Portal – 
New Mexico,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://nmdoj.gov/americans-with-disabilities-act-notice-of-rights/,Americans with Disabilities Act Notice of Rights – 
New Mexico,meal_rest_breaks,Meal & Rest Breaks,https://www.workforcehub.com/hr-laws-and-regulations/new-mexico/new-mexico-meal-and-rest-break-laws/,Meal and Rest Break Laws in New Mexico | WorkforceHub – 
New Mexico,jury_duty_leave,Jury Duty Leave,https://jury.nmcourts.gov/about-jury-duty/,About Jury Duty - New Mexico Courts – 
New Mexico,bereavement_leave,Bereavement Leave,https://www.srca.nm.gov/wp-content/uploads/2020/02/408-Employee-Absence-and-Leave-02282020.pdf,SRCA-408 TITLE: Employee Absence and Leave PURPOSE – 
New Mexico,non_compete,Non-Compete Enforcement Rules,https://law.justia.com/codes/new-mexico/2021/chapter-24/article-1i/section-24-1i-2/,2021 New Mexico Statutes :: Chapter 24 - Health and Safety :: Article 1I - Health Care Practitioner Agreements :: Section 24-1I-2 - Enforceability of a non-compete provision; other provisions void. – 
New Mexico,background_checks,Background Check / Ban-the-Box,https://www.nmececd.org/comprehensive-background-check-process/,Comprehensive Background Check Process | Early Childhood Education & Care Department – 
New Mexico,mini_warn,Mini-WARN & Separation Notices,https://www.sunsethq.com/blog/warn-act-new-mexico,New Mexico WARN Act & Layoff Laws Explained – 
New Mexico,everify,E-Verify / Employment Verification,https://www.e-verify.gov/employers/enrolling-in-e-verify,Enrolling in E-Verify – 
New Mexico,workers_comp,Workers’ Compensation Requirements,https://www.workerscomp.nm.gov/,New Mexico Workers' Compensation Administration: Home – 
New Mexico,prevailing_wage,Prevailing Wage Laws (public contracts),https://law.justia.com/codes/new-mexico/chapter-13/article-4/section-13-4-11/,2024 New Mexico Statutes :: Chapter 13 - Public Purchases and Property :: Article 4 - Public Works Contracts :: Section 13-4-11 - Prevailing wage and benefit rates determined; minimum wages and fringe benefits on public works; weekly payment; withholding funds. – 
New Mexico,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.pelrb.nm.gov/wp-content/uploads/2024/07/practice-manual-2024-07-29.pdf,PELRB PRACTICE MANUAL – 
New Mexico,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.govinfo.gov/content/pkg/FR-2025-04-22/pdf/2025-05904.pdf,"Federal Register/Vol. 90, No. 76/Tuesday, April 22, 2025/ ... – "
New Mexico,right_to_work,Right-to-Work Laws (where applicable),https://www.dws.state.nm.us/en-us/Businesses/Rules-and-Regulations/Labor-Relations-FAQs/pager/205/page/2,Labor Relations FAQs – 
New Mexico,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.justice.gov/usao-nm/pr/us-attorney-announces-prison-sentence-domestic-violence-against-pregnant-intimate,U.S. Attorney Announces Prison Sentence for Domestic Violence Against Pregnant Intimate Partner – 
New Mexico,voting_leave,Voting / Civic Leave,https://law.justia.com/codes/new-mexico/chapter-1/article-12/section-1-12-42/,2024 New Mexico Statutes :: Chapter 1 - Elections :: Article 12 - Conduct of Elections :: Section 1-12-42 - Conduct of election; employees; time to vote. – 
New Mexico,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www.env.nm.gov/occupational_health_safety/,Occupational Health & Safety Bureau – 
New Mexico,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://www.nmsto.gov/work-and-save,New Mexico State Treasurer's Office | Work & $ave – 
New York,minimum_wage,Minimum Wage,https://dol.ny.gov/minimum-wage-0,Minimum Wage | Department of Labor - NY.gov – 
New York,overtime,Overtime & Hours,https://dol.ny.gov/system/files/documents/2021/03/overtime-frequently-asked-questions_0.pdf,Overtime Frequently Asked Questions (FAQ) | New York State ... – 
New York,paid_sick_leave,Paid Sick Leave,https://www.ny.gov/programs/new-york-paid-sick-leave,New York Paid Sick Leave - NY.Gov – 
New York,family_medical_leave,Paid Family / Medical Leave (PFML),https://paidfamilyleave.ny.gov/,New York State Paid Family Leave – 
New York,final_pay,Final Pay / Vacation Payout,https://www.osc.ny.gov/state-agencies/payroll/payroll-manual/lump-sum-payment-upon-separation,Lump Sum Payment Upon Separation – 
New York,pay_frequency,Pay Frequency & Payday Timing,https://dol.ny.gov/frequency-pay,Frequency of Pay | Department of Labor - NY.gov – 
New York,harassment_training,Harassment Training,https://www.nyc.gov/site/cchr/law/sexual-harassment-training.page,Sexual Harassment Prevention Training – 
New York,posting_requirements,Posting Requirements,https://dol.ny.gov/posting-requirements-0,Posting Requirements | Department of Labor - NY.Gov – 
New York,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://dhr.ny.gov/system/files/documents/2022/08/nysdhr-guidance-pregnancy-discrimination.pdf,nysdhr-guidance-pregnancy-discrimination.pdf – 
New York,meal_rest_breaks,Meal & Rest Breaks,https://dol.ny.gov/day-rest-and-meal-periods,Day of Rest and Meal Periods | Department of Labor - NY.Gov – 
New York,jury_duty_leave,Jury Duty Leave,https://nyjuror.gov/,N.Y. State Jurors – 
New York,bereavement_leave,Bereavement Leave,https://www.nyc.gov/assets/hra/downloads/pdf/hra-docs/Bereavement-Leave-Policy.pdf,BEREAVEMENT LEAVE PROVISIONS FOR DSS-HRA- ... – 
New York,non_compete,Non-Compete Enforcement Rules,https://ag.ny.gov/sites/default/files/non-competes.pdf,Non-Compete Agreements In New York State – 
New York,background_checks,Background Check / Ban-the-Box,https://www.nyc.gov/site/cchr/media/fair-chance-act-campaign.page,Fair Chance Act Campaign - CCHR – 
New York,mini_warn,Mini-WARN & Separation Notices,https://content.next.westlaw.com/practical-law/document/I77ec1746ef2e11e28578f7ccc38dcbee/Mini-WARN-Acts-New-York?viewType=FullText&transitionType=Default&contextData=(sc.Default),Mini-WARN Acts: New York | Practical Law – 
New York,everify,E-Verify / Employment Verification,https://bsc.ogs.ny.gov/employment-eligibility-verification-i-9,Employment Eligibility Verification Form (I-9) – 
New York,workers_comp,Workers’ Compensation Requirements,https://www.wcb.ny.gov/content/main/coverage-requirements-wc/,Workers' Compensation Coverage Requirements – 
New York,prevailing_wage,Prevailing Wage Laws (public contracts),https://dol.ny.gov/bureau-public-work-and-prevailing-wage-enforcement,Bureau of Public Work and Prevailing Wage Enforcement – 
New York,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://dol.ny.gov/day-rest-and-meal-periods,Day of Rest and Meal Periods – 
New York,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.osc.ny.gov/files/state-agencies/audits/pdf/sga-2025-23s50.pdf,New York State Artificial Intelligence Governance – 
New York,right_to_work,Right-to-Work Laws (where applicable),https://dol.ny.gov/labor-standards-0,Labor Standards | Department of Labor - NY.Gov – 
New York,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://opdv.ny.gov/sick-leavesafe-time,Sick Leave/Safe Time – 
New York,voting_leave,Voting / Civic Leave,https://elections.ny.gov/time-vote,Time Off to Vote - New York State Board of Elections - NY.Gov – 
New York,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/stateplans/ny,New York State Plan | Occupational Safety and Health ... – 
New York,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://securechoice.ny.gov/,New York Secure Choice Savings Program Board – 
North Carolina,minimum_wage,Minimum Wage,https://www.labor.nc.gov/workplace-rights/employee-rights-regarding-time-worked-and-wages-earned/minimum-wage-nc,Minimum Wage in N.C. | NC DOL – 
North Carolina,overtime,Overtime & Hours,https://oshr.nc.gov/documents/hours-work-and-overtime-compensation-policy-effective-july-11-2024/open,Hours of Work and Overtime Compensation Policy – 
North Carolina,paid_sick_leave,Paid Sick Leave,https://oshr.nc.gov/policies/sick-leave-policy,NC OSHR: Sick Leave Policy – 
North Carolina,family_medical_leave,Paid Family / Medical Leave (PFML),https://oshr.nc.gov/policies/family-and-medical-leave-policy,NC OSHR: Family and Medical Leave Policy – 
North Carolina,final_pay,Final Pay / Vacation Payout,https://www.labor.nc.gov/workplace-rights/employee-rights-regarding-time-worked-and-wages-earned/payment-final-wages,Payment of Final Wages to Separated Employees | NC DOL – 
North Carolina,pay_frequency,Pay Frequency & Payday Timing,https://www.labor.nc.gov/nc-wage-and-hour-laws-what-you-need-know-powerpoint/open,North Carolina Department of Labor Wage and Hour Bureau – 
North Carolina,harassment_training,Harassment Training,https://oshr.nc.gov/policies/unlawful-workplace-harassment,NC OSHR: Unlawful Workplace Harassment – 
North Carolina,posting_requirements,Posting Requirements,https://www.labor.nc.gov/workplace-rights/employer-responsibilities/all-state-and-federal-workplace-posters,All State and Federal Workplace Posters – 
North Carolina,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://oshr.nc.gov/documents/files/reasonable-accommodation-policy/open,Reasonable Accommodation Policy – 
North Carolina,meal_rest_breaks,Meal & Rest Breaks,https://www.labor.nc.gov/workplace-rights/employee-rights-regarding-time-worked-and-wages-earned/what-know-about-breaks,What to Know About Breaks | NC DOL - NC Department of Labor – 
North Carolina,jury_duty_leave,Jury Duty Leave,https://oshr.nc.gov/state-employee-resources/benefits/employee-leave-options,Employee Leave Options - NC State Human Resources – 
North Carolina,bereavement_leave,Bereavement Leave,https://oshr.nc.gov/bereavement-leave-faqs,Bereavement Leave FAQs | NC Office of Human Resources – 
North Carolina,non_compete,Non-Compete Enforcement Rules,https://www.labor.nc.gov/workplace-rights/employee-rights-regarding-time-worked-and-wages-earned/employment-agreementscontractual-obligations,Employment Agreements/Contractual Obligations | NC DOL – 
North Carolina,background_checks,Background Check / Ban-the-Box,https://www.ncsbi.gov/Services/Background-Checks/Background-Checks-on-Others,NCSBI - Background Checks on Others – 
North Carolina,mini_warn,Mini-WARN & Separation Notices,https://www.commerce.nc.gov/business/business-closure-resources/file-warn-notice,File a WARN Notice | NC Commerce – 
North Carolina,everify,E-Verify / Employment Verification,https://oshr.nc.gov/policies/form-i-9-and-employment-eligibility-verification-policy,Form I-9 and Employment Eligibility Verification Policy – 
North Carolina,workers_comp,Workers’ Compensation Requirements,https://www.ic.nc.gov/wcinsrqmt.html,NC Industrial Commission Information for Employers – 
North Carolina,prevailing_wage,Prevailing Wage Laws (public contracts),https://go-alliant.com/state-compliance/north-carolina/,North Carolina Prevailing Wage Compliance | Alliant Consulting – 
North Carolina,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.eeoc.gov/laws/guidance/enforcement-guidance-pregnancy-discrimination-and-related-issues,Enforcement Guidance on Pregnancy Discrimination and ... – 
North Carolina,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://it.nc.gov/resources/artificial-intelligence,Artificial Intelligence | NCDIT – 
North Carolina,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-states-north-carolina/,Right to Work States: North Carolina - National Right to Work Legal Defense Foundation – 
North Carolina,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.nccourts.gov/help-topics/domestic-violence/how-to-get-a-protection-order,Domestic Violence - How To Get A Protection Order – 
North Carolina,voting_leave,Voting / Civic Leave,https://www.nc.gov/living/voting,Voting | nc.gov – 
North Carolina,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www.labor.nc.gov/standards-information-and-activity,Standards Information and Activity | NC DOL – 
North Carolina,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://www.myncretirement.com/nc-401k-nc-457/information-employers/part-time-employees,Time Employees | My NC Retirement – 
North Dakota,minimum_wage,Minimum Wage,https://regulations.justia.com/states/north-dakota/title-46/article-46-02/chapter-46-02-07/section-46-02-07-02/,"North Dakota Administrative Code, Chapter 46-02-07, Section 46-02-07-02 - Standards that apply | North Dakota Administrative Code | Justia – "
North Dakota,overtime,Overtime & Hours,https://www.nd.gov/labor/wage-and-hour-faq,Wage and Hour FAQ | Department of Labor and Human ... – 
North Dakota,paid_sick_leave,Paid Sick Leave,https://ndlegis.gov/information/acdata/pdf/4-07-13.pdf,North Dakota Administrative Code - Title 4 Article 7 Chapter 13 – 
North Dakota,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.hhs.nd.gov/,ND Health and Human Services – 
North Dakota,final_pay,Final Pay / Vacation Payout,https://www.nd.gov/labor/sites/www/files/documents/Labor%20and%20Human%20Rights%20FAQ%20-%20English.pdf,Labor and Human Rights FAQ – 
North Dakota,pay_frequency,Pay Frequency & Payday Timing,https://ndlegis.gov/cencode/t34c14.pdf,North Dakota Century Code t34c14 – 
North Dakota,harassment_training,Harassment Training,https://www.nd.gov/labor/news,| Department of Labor and Human Rights – 
North Dakota,posting_requirements,Posting Requirements,https://gf.nd.gov/hunting/posting-land,Electronic and Physical Posting Information – 
North Dakota,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.omb.nd.gov/sites/www/files/documents/team-nd-careers/hrpolicymanual.pdf,HUMAN RESOURCE employee handbook – 
North Dakota,meal_rest_breaks,Meal & Rest Breaks,https://www.nd.gov/labor/wage-and-hour-faq,Wage and Hour FAQ | Department of Labor and Human ... – 
North Dakota,jury_duty_leave,Jury Duty Leave,https://www.ndcourts.gov/district-court/Jurors-Handbook,Jury Duty – 
North Dakota,bereavement_leave,Bereavement Leave,https://pembinacountynd.gov/image/cache/PEMBINA_COUNTY_EMPLOYEE_POLICY_MANUAL_July_2021.pdf,EMPLOYEE POLICY MANUAL - Revised: July 2021 – 
North Dakota,non_compete,Non-Compete Enforcement Rules,https://ndlegis.gov/cencode/t44c04.pdf,North Dakota Century Code t44c04 – 
North Dakota,background_checks,Background Check / Ban-the-Box,https://attorneygeneral.nd.gov/public-safety/criminal-history-records/background-check-v-nd-criminal-history-record-check,North Dakota Attorney General | Background Check v. ND Criminal History Record Check – 
North Dakota,mini_warn,Mini-WARN & Separation Notices,https://www.jobsnd.com/unemployment-business-tax/employers-guide/employer-responsibilities-employee-separations,Employer Responsibilities for Employee Separations – 
North Dakota,everify,E-Verify / Employment Verification,https://www.omb.nd.gov/team-nd-careers/state-employment-verification,State Employment Verification – 
North Dakota,workers_comp,Workers’ Compensation Requirements,https://www.workforcesafety.com/employers/insurance-coverage-information/coverage-requirements,Coverage Requirements – 
North Dakota,prevailing_wage,Prevailing Wage Laws (public contracts),https://emarsinc.com/prevailing-wages/north-dakota,Prevailing Wage and Davis-Bacon Compliance in North Dakota – 
North Dakota,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.nd.gov/labor/laws-and-rules,Laws and Rules – 
North Dakota,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.ndit.nd.gov/artificial-intelligence-guidelines,Artificial Intelligence Guidelines – 
North Dakota,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-states-north-dakota/,Right to Work States: North Dakota - National Right to Work Legal Defense Foundation – 
North Dakota,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.ndcourts.gov/legal-self-help/domestic-violence-protection-order,Domestic Violence Protection Order – 
North Dakota,voting_leave,Voting / Civic Leave,https://advance.lexis.com/open/document/lpadocument/?pdmfid=1000522&crid=dXJuOmNvbnRlbnRJdGVtOjVDUDctWDlZMS02NldQLVA1M1AtMDAwMDAtMDA&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5CP7-X9Y1-66WP-P53P-00000-00&pdcomponentid=9125,"TITLE 16.1
						Elections
						16.1-01-02.1.
						State policy encouraging employers to establish policy granting employees time to vote., N.D. Cent. Code, § 16.1-01-02.1 – "
North Dakota,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/stateplans,State Plans | Occupational Safety and Health Administration – 
